snapshot_date,snapshot_ts,match_date,league,match,market,odds
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Mansfield Town vs Doncaster Rovers,under25,1.87
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Middlesbrough vs Lincoln City,over25,1.64
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Middlesbrough vs Lincoln City,under25,2.21
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Newport County vs Rochdale,over25,1.93
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Newport County vs Rochdale,under25,1.75
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Northampton Town vs Swindon Town,over25,1.9
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Northampton Town vs Swindon Town,under25,1.85
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Norwich City vs West Bromwich Albion,over25,1.9
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Norwich City vs West Bromwich Albion,under25,1.87
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Notts County vs Leicester City,over25,1.99
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Notts County vs Leicester City,under25,1.79
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Oldham Athletic vs Port Vale,over25,2.08
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Oldham Athletic vs Port Vale,under25,1.64
2026-08-09,2026-08-09T10:55:35,2026-08-15,La Liga 2,Oviedo vs Granada CF,over25,1.94
2026-08-09,2026-08-09T10:55:35,2026-08-15,La Liga 2,Oviedo vs Granada CF,under25,1.91
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Oxford United vs Milton Keynes Dons,over25,2.1
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Oxford United vs Milton Keynes Dons,under25,1.71
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Plymouth Argyle vs Stockport County FC,over25,1.75
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Plymouth Argyle vs Stockport County FC,under25,2.04
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Portsmouth vs Queens Park Rangers,over25,1.85
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Portsmouth vs Queens Park Rangers,under25,1.92
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Reading vs Luton,over25,1.86
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Reading vs Luton,under25,1.91
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Sheffield United vs Birmingham City,over25,1.99
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Sheffield United vs Birmingham City,under25,1.79
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Stoke City vs Swansea City,over25,2.1
2026-08-09,2026-08-09T10:55:35,2026-08-15,Championship,Stoke City vs Swansea City,under25,1.71
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Tranmere Rovers vs Shrewsbury Town,over25,2.09
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Tranmere Rovers vs Shrewsbury Town,under25,1.7
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,York City vs Bristol Rovers,over25,2.04
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,York City vs Bristol Rovers,under25,1.74
2026-08-09,2026-08-09T11:17:40,2026-08-09,Bundesliga 2,FC Energie Cottbus vs Hannover 96,over25,1.52
2026-08-09,2026-08-09T11:17:40,2026-08-09,Bundesliga 2,FC Energie Cottbus vs Hannover 96,under25,2.35
2026-08-09,2026-08-09T13:49:36,2026-08-15,League One,Bradford City vs Peterborough United,over25,1.81
2026-08-09,2026-08-09T13:49:36,2026-08-15,League One,Bradford City vs Peterborough United,under25,1.97
2026-08-09,2026-08-09T13:49:36,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,over25,1.68
2026-08-09,2026-08-09T13:49:36,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.14
2026-08-09,2026-08-09T13:49:36,2026-08-15,Championship,Middlesbrough vs Lincoln City,over25,1.65
2026-08-09,2026-08-09T13:49:36,2026-08-15,Championship,Middlesbrough vs Lincoln City,under25,2.19
2026-08-09,2026-08-09T13:49:36,2026-08-16,Bundesliga 2,Dynamo Dresden vs SV Darmstadt 98,over25,1.59
2026-08-09,2026-08-09T13:49:36,2026-08-16,Bundesliga 2,Dynamo Dresden vs SV Darmstadt 98,under25,2.17
2026-08-09,2026-08-09T13:49:36,2026-08-16,Championship,Watford vs Southampton,over25,1.75
2026-08-09,2026-08-09T13:49:36,2026-08-16,Championship,Watford vs Southampton,under25,2.04
