date,league,match,score,elapsed_mins,signal_type,bet,fair_under_odds,fair_over_odds,live_p_under,live_p_over,pre_p_over,updated_at
2026-06-25,World Cup 2026,Ecuador vs Germany,1-1,57,UNDER_RECOVERY,UNDER 2.5,2.48,1.68,0.4034,0.5966,0.45,21:12
2026-06-26,World Cup 2026,Tunisia vs Netherlands,0-2,45,UNDER_RECOVERY,UNDER 2.5,3.45,1.41,0.29,0.71,0.45,00:00
2026-06-26,Ireland Premier Division,Shamrock Rovers vs Galway United,0-0,36,HT_UNDER_0.5,HT UNDER 0.5,1.52,2.93,0.6583,0.3417,0.787,19:05
2026-06-26,Ireland Premier Division,Derry City vs Drogheda United,0-0,20,HT_UNDER_1.5,HT UNDER 1.5,1.5,3.02,0.6688,0.3312,0.797,19:05
2026-06-27,China Super League,Chongqing Tonglianglong FC vs Tianjin Jinmen Tiger FC,0-0,57,STRONG_STUCK,OVER 2.5,1.25,4.93,0.797,0.203,0.792,12:56
