date,league,season,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_corners,away_corners,home_fouls,away_fouls,home_shots,away_shots,home_sot,away_sot,odds_over25,odds_under25,odds_btts,odds_over15,odds_over35,ftr,total_goals,over25,over15,over35,btts,ht_total_goals,ht_over05,ht_over15,home_sot_ratio,away_sot_ratio,home_xg,away_xg,home_insidebox,away_insidebox,home_yellows,away_yellows,home_scored_last5,home_conceded_last5,home_over25_last5,home_shots_last5,home_sot_last5,home_corners_pg_roll,home_fouls_pg_roll,home_xg_last5,home_insidebox_last5,home_ht_scored_last5,home_ht_conceded_last5,home_ht_over05_rate,home_ht_over15_rate,away_scored_last5,away_conceded_last5,away_over25_last5,away_shots_last5,away_sot_last5,away_corners_pg_roll,away_fouls_pg_roll,away_xg_last5,away_insidebox_last5,away_ht_scored_last5,away_ht_conceded_last5,away_ht_over05_rate,away_ht_over15_rate,combined_ht_goals_avg,home_ht_attack_str,away_ht_attack_str,home_ht_defense_str,away_ht_defense_str,league_avg_goals,home_attack_str,away_attack_str,home_defense_str,away_defense_str,home_rest_days,away_rest_days,home_advantage,away_home_adv_factor,home_season_goals_h,away_season_goals_a,home_season_conceded_h,away_season_conceded_a,home_cs_rate_h,away_cs_rate_a,home_sot_ratio_last5,away_sot_ratio_last5,combined_sot_ratio,home_sp_goals_pg,away_sp_goals_pg,home_pen_goals_pg,away_pen_goals_pg,home_fk_goals_pg,away_fk_goals_pg,referee_foul_avg,implied_prob_over,implied_prob_under,bookmaker_overround,p_over25_poisson_dc,p_btts,fair_prob,edge,signal_tier,bet,bet_stake,pnl,cumulative_pnl,drawdown
2022-09-02,Ligue 2,2022/23,Metz,Annecy,0.0,0.0,0.0,0.0,9.0,4.0,12.0,15.0,12.0,4.0,4.0,0.0,2.06,1.74,1.85,,,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,,,,,,,2.0,1.4,0.6,16.2,5.8,4.2,12.6,,,1.4,0.6,1.0,0.4,0.8,0.8,0.2,8.4,2.8,3.2,13.2,,,0.6,0.4,0.6,0.2,2.0,2.1538461538461537,0.923076923076923,0.923076923076923,0.6153846153846154,2.360655737704918,1.6944444444444444,0.6777777777777778,1.1861111111111111,0.6777777777777778,3.0,3.0,0.4,0.6,2.0,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.35802469135802467,0.3333333333333333,0.345679012345679,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.4854368932038835,0.5747126436781609,0.060149536882044385,0.5305463165333173,0.485673589330052,0.5005005005005004,-0.014826911170448431,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-02,Bundesliga 2,2022/23,Heidenheim,Fortuna Dusseldorf,2.0,1.0,1.0,0.0,8.0,5.0,12.0,9.0,15.0,15.0,3.0,4.0,1.81,1.98,1.85,,,H,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,0.26666666666666666,,,,,,,1.8,0.8,0.6,15.2,4.8,7.2,12.2,,,0.6,0.6,1.0,0.2,2.0,1.2,0.8,13.4,5.8,5.0,13.8,,,0.4,0.4,0.4,0.2,1.0,0.923076923076923,0.6153846153846154,0.923076923076923,0.6153846153846154,3.2363636363636363,1.1123595505617978,1.2359550561797752,0.49438202247191015,0.7415730337078652,6.0,7.0,0.4,0.4,2.0,1.3333333333333333,0.5,1.3333333333333333,0.5,0.0,0.3157894736842105,0.43283582089552236,0.37431264728986646,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5524861878453039,0.5050505050505051,0.05753669289580898,0.7311033222888895,0.48491858842891844,0.5005005005005004,-0.015581912071581994,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Championship,2022/23,Preston,Birmingham,0.0,1.0,0.0,1.0,4.0,6.0,14.0,12.0,10.0,8.0,3.0,3.0,2.26,1.64,1.85,,,A,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,0.375,,,,,,,0.4,0.0,0.0,11.2,3.8,5.6,9.4,,,0.2,0.0,0.2,0.0,0.4,1.4,0.2,8.8,2.6,4.0,12.6,,,0.2,0.4,0.6,0.0,0.4,0.3076923076923077,0.3076923076923077,0.0,0.6153846153846154,2.4352941176470586,0.32850241545893727,0.32850241545893727,0.0,1.1497584541062802,3.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3392857142857143,0.2954545454545454,0.31737012987012986,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.4424778761061947,0.6097560975609756,0.0522339736671702,0.04742259607149002,0.4806653860923635,0.5005005005005004,-0.019835114408136956,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Championship,2022/23,Rotherham,Watford,1.0,1.0,1.0,1.0,3.0,6.0,12.0,11.0,8.0,12.0,3.0,2.0,2.08,1.75,1.85,,,D,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.375,0.16666666666666666,,,,,,,1.4,0.8,0.4,9.8,3.2,3.8,9.4,,,1.2,0.2,0.6,0.4,1.2,1.0,0.4,11.4,2.8,3.2,9.8,,,0.6,0.8,0.8,0.4,1.7999999999999998,1.846153846153846,0.923076923076923,0.3076923076923077,1.2307692307692308,2.4186046511627906,1.1576923076923078,0.9923076923076923,0.6615384615384616,0.826923076923077,3.0,4.0,0.0,0.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.32653061224489793,0.24561403508771928,0.28607232366630864,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.4807692307692307,0.5714285714285714,0.05219780219780201,0.48157042406394945,0.4818824749223644,0.5005005005005004,-0.01861802557813602,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Championship,2022/23,Swansea,QPR,1.0,0.0,1.0,0.0,6.0,4.0,8.0,9.0,13.0,8.0,4.0,3.0,1.96,1.85,1.85,,,H,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3076923076923077,0.375,,,,,,,1.0,1.4,0.4,13.0,5.0,5.2,10.0,,,0.6,0.6,0.8,0.4,1.8,1.4,0.6,13.8,5.4,4.0,8.6,,,1.2,1.0,1.0,0.8,1.7999999999999998,0.923076923076923,1.846153846153846,0.923076923076923,1.5384615384615383,2.413793103448276,0.8285714285714286,1.4914285714285715,1.16,1.16,3.0,4.0,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.6666666666666667,0.0,0.0,0.38461538461538464,0.391304347826087,0.3879598662207358,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5102040816326531,0.5405405405405405,0.05074462217319353,0.5305463165333173,0.4834202879396856,0.5005005005005004,-0.017080212560814823,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Ligue 2,2022/23,Paris FC,Bordeaux,1.0,3.0,0.0,2.0,4.0,6.0,16.0,9.0,14.0,14.0,2.0,5.0,2.1,1.71,1.85,,,A,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.14285714285714285,0.35714285714285715,,,,,,,1.0,1.0,0.4,11.4,4.6,4.0,10.2,,,0.4,0.2,0.4,0.2,1.6,0.2,0.4,13.8,3.4,3.4,13.8,,,1.0,0.2,0.6,0.4,1.4,0.6153846153846154,1.5384615384615383,0.3076923076923077,0.3076923076923077,2.4477611940298507,0.8170731707317074,1.3073170731707318,0.8170731707317074,0.16341463414634147,4.0,4.0,1.0,1.0,1.5,1.5,1.0,0.0,0.0,1.0,0.40350877192982454,0.24637681159420288,0.3249427917620137,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.47619047619047616,0.5847953216374269,0.06098579782790292,0.48157042406394956,0.4801585951165812,0.5005005005005004,-0.020341905383919223,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Championship,2022/23,Millwall,Cardiff,2.0,0.0,0.0,0.0,4.0,6.0,9.0,15.0,16.0,12.0,7.0,2.0,2.42,1.56,1.85,,,H,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.16666666666666666,,,,,,,1.0,1.8,0.4,12.6,3.0,4.0,11.6,,,0.2,1.0,0.6,0.4,0.4,0.8,0.2,14.4,2.8,5.0,9.0,,,0.2,0.2,0.4,0.0,0.4,0.3076923076923077,0.3076923076923077,1.5384615384615383,0.3076923076923077,2.4404761904761907,0.8195121951219512,0.3278048780487805,1.4751219512195122,0.655609756097561,4.0,4.0,1.0,0.6,1.6666666666666667,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.2380952380952381,0.19444444444444442,0.21626984126984128,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.4132231404958678,0.641025641025641,0.05424878152150869,0.16650226187737005,0.4814766553920476,0.5005005005005004,-0.01902384510845284,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Championship,2022/23,Blackburn,Bristol City,2.0,3.0,0.0,1.0,5.0,6.0,8.0,10.0,11.0,16.0,6.0,5.0,1.79,2.03,1.85,,,A,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5454545454545454,0.3125,,,,,,,0.6,1.6,0.6,10.6,2.0,5.0,10.4,,,0.4,0.6,1.0,0.0,2.0,0.8,0.2,11.0,3.6,4.0,11.4,,,1.2,0.2,1.0,0.4,1.6,0.6153846153846154,1.846153846153846,0.923076923076923,0.3076923076923077,2.402439024390244,0.49949238578680205,1.6649746192893402,1.3319796954314722,0.6659898477157361,3.0,3.0,0.0,0.0,1.0,1.6666666666666667,0.6666666666666666,2.0,0.3333333333333333,0.0,0.18867924528301888,0.32727272727272727,0.2579759862778731,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5586592178770949,0.4926108374384237,0.05127005531551854,0.48157042406394956,0.4837923162631977,0.5005005005005004,-0.016708184237302748,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,League One,2022/23,Accrington,Ipswich,0.0,2.0,0.0,0.0,6.0,12.0,17.0,9.0,10.0,18.0,3.0,7.0,1.8,1.97,1.85,,,A,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3888888888888889,,,,,,,1.6,1.4,0.4,17.4,4.4,5.2,10.6,,,0.0,0.8,0.6,0.2,2.2,0.6,0.8,15.8,7.0,8.4,11.2,,,1.2,0.2,0.8,0.6,1.2,0.0,1.846153846153846,1.2307692307692308,0.3076923076923077,2.5211267605633805,1.2692737430167598,1.7452513966480447,1.1106145251396646,0.47597765363128486,7.0,7.0,0.5,0.0,2.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25287356321839083,0.4430379746835443,0.3479557689509676,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5555555555555556,0.5076142131979695,0.06316976875352509,0.7311033222888896,0.4818003989108582,0.5005005005005004,-0.01870010158964225,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Serie B,2022/23,Ascoli,Cittadella,0.0,0.0,0.0,0.0,2.0,5.0,14.0,22.0,9.0,14.0,3.0,2.0,2.12,1.69,1.85,,,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,,,,,,,2.0,1.3333333333333333,0.6666666666666666,11.0,4.0,5.333333333333333,16.0,,,1.6666666666666667,0.6666666666666666,1.0,1.0,2.0,2.0,0.6666666666666666,14.333333333333334,3.6666666666666665,4.333333333333333,16.333333333333332,,,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,2.5641025641025643,1.0256410256410255,1.0256410256410255,0.5128205128205128,2.5588235294117645,1.5632183908045978,1.5632183908045978,1.042145593869732,1.5632183908045978,7.0,6.0,0.5,0.5,1.5,1.0,1.0,2.0,0.0,0.0,0.36363636363636365,0.25581395348837205,0.3097251585623678,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.4716981132075471,0.591715976331361,0.06341408953890815,0.7618966944464556,0.48584971636977153,0.5005005005005004,-0.0146507841307289,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Serie B,2022/23,Bari,Spal,2.0,2.0,2.0,0.0,7.0,5.0,13.0,14.0,15.0,18.0,7.0,5.0,1.91,1.86,1.85,,,D,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4666666666666667,0.2777777777777778,,,,,,,2.0,1.3333333333333333,0.6666666666666666,12.333333333333334,5.333333333333333,3.6666666666666665,12.666666666666666,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,11.333333333333334,4.666666666666667,4.666666666666667,17.0,,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666665,1.5384615384615383,1.0256410256410255,1.5384615384615383,1.0256410256410255,2.515151515151515,1.5903614457831325,0.7951807228915663,1.0602409638554215,1.0602409638554215,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4324324324324324,0.4117647058823529,0.42209856915739263,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5235602094240838,0.5376344086021505,0.06119461802623416,0.5768099188731564,0.48227393058130197,0.5005005005005004,-0.018226569919198465,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Serie B,2022/23,Brescia,Perugia,2.0,1.0,2.0,1.0,4.0,5.0,15.0,19.0,18.0,16.0,6.0,4.0,2.03,1.76,1.85,,,H,3.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.25,,,,,,,1.0,1.0,0.3333333333333333,13.0,4.666666666666667,4.0,20.0,,,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,12.666666666666666,3.3333333333333335,5.666666666666667,16.666666666666668,,,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0256410256410255,0.0,0.5128205128205128,1.0256410256410255,2.5,0.8,0.26666666666666666,0.8,1.3333333333333335,5.0,6.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.358974358974359,0.26315789473684215,0.31106612685560053,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.4926108374384237,0.5681818181818182,0.06079265562024183,0.1506314438493248,0.4842046635207164,0.5005005005005004,-0.01629583697978404,AVOID,AVOID,0.0,0.0,0.0,0.0
2022-09-03,Serie B,2022/23,Frosinone,Como,2.0,0.0,1.0,0.0,8.0,5.0,19.0,11.0,23.0,11.0,9.0,2.0,1.75,2.05,1.85,,,H,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.391304347826087,0.18181818181818182,,,,,,,1.6666666666666667,0.6666666666666666,0.6666666666666666,14.0,5.333333333333333,5.333333333333333,14.333333333333334,,,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,1.3333333333333333,0.3333333333333333,9.333333333333334,4.0,3.3333333333333335,14.666666666666666,,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.0256410256410255,1.0256410256410255,0.5128205128205128,1.0256410256410255,2.5161290322580645,1.3247863247863247,0.7948717948717948,0.5299145299145299,1.0598290598290598,6.0,5.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.38095238095238093,0.42857142857142855,0.40476190476190477,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5714285714285714,0.48780487804878053,0.059233449477351874,0.49817507450198883,0.4817511625144877,0.5005005005005004,-0.01874933798601275,AVOID,AVOID,0.0,0.0,0.0,0.0
