league,bets,wins,profit,roi_%
Bundesliga 2,478.0,259.0,64.61,13.52
Denmark 1st Div,424.0,192.0,-1.56,-0.37
La Liga 2,971.0,424.0,97.39,10.03
League One,685.0,383.0,118.1,17.24
League Two,896.0,453.0,67.02,7.48
Ligue 2,760.0,372.0,69.88,9.19
Poland Ekstraklasa,477.0,208.0,-14.17,-2.97
