league,bets,wins,profit,roi_%
Bundesliga 2,242.0,173.0,76.125,32.57
Championship,310.0,189.0,39.425,13.39
La Liga 2,186.0,121.0,36.038,20.45
League One,373.0,253.0,91.975,25.66
League Two,286.0,199.0,78.888,28.79
Ligue 2,206.0,124.0,20.738,10.62
Serie B,234.0,148.0,36.538,16.46
