league,bets,wins,profit,roi_%
Bundesliga 2,71.0,41.0,34.9,50.04
Championship,42.0,18.0,4.1,10.06
La Liga 2,21.0,11.0,7.85,37.83
League One,67.0,41.0,39.3,59.55
League Two,43.0,26.0,23.4,55.38
Ligue 2,47.0,25.0,16.85,38.08
Serie B,49.0,27.0,21.4,45.05
