league,bets,wins,profit,roi_%
Bundesliga 2,234.0,189.0,26.4,13.5
Championship,377.0,292.0,25.75,7.86
La Liga 2,309.0,217.0,-5.55,-2.15
League One,366.0,264.0,3.55,1.11
League Two,338.0,265.0,29.3,9.97
Ligue 2,256.0,169.0,-14.8,-6.88
Serie B,242.0,180.0,8.8,4.21
