date,league,season,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_corners,away_corners,home_fouls,away_fouls,home_shots,away_shots,home_sot,away_sot,odds_over25,odds_under25,ftr,total_goals,over25,btts,ht_total_goals,ht_over05,ht_over15,home_sot_ratio,away_sot_ratio,home_scored_last5,home_conceded_last5,home_over25_last5,home_shots_last5,home_sot_last5,home_corners_pg_roll,home_fouls_pg_roll,home_ht_scored_last5,home_ht_conceded_last5,home_ht_over05_rate,home_ht_over15_rate,away_scored_last5,away_conceded_last5,away_over25_last5,away_shots_last5,away_sot_last5,away_corners_pg_roll,away_fouls_pg_roll,away_ht_scored_last5,away_ht_conceded_last5,away_ht_over05_rate,away_ht_over15_rate,combined_ht_goals_avg,home_ht_attack_str,away_ht_attack_str,home_ht_defense_str,away_ht_defense_str,league_avg_goals,home_attack_str,away_attack_str,home_defense_str,away_defense_str,home_rest_days,away_rest_days,home_advantage,away_home_adv_factor,home_sot_ratio_last5,away_sot_ratio_last5,combined_sot_ratio,home_sp_goals_pg,away_sp_goals_pg,home_pen_goals_pg,away_pen_goals_pg,home_fk_goals_pg,away_fk_goals_pg,referee_foul_avg,implied_prob_over,implied_prob_under,bookmaker_overround,p_over25_poisson_dc,p_over25,impl_prob_over,impl_prob_under,edge_over,edge_under,kelly_over,kelly_under,ev_over,ev_under,both_losing,stake_over,stake_under,tier_over,tier_under,min_odds_blocked,bet,bet_stake,best_edge,best_side,signal_tier,pnl,cumulative_pnl,drawdown
2022-09-02,Championship,2022/23,West Brom,Burnley,1.0,1.0,0.0,1.0,9.0,1.0,12.0,10.0,23.0,11.0,8.0,4.0,1.99,1.82,D,2.0,0.0,1.0,1.0,1.0,0.0,0.34782608695652173,0.36363636363636365,1.8,1.4,0.6,13.2,5.0,6.4,9.6,0.6,0.8,0.8,0.4,2.2,1.2,0.4,13.8,5.8,4.4,8.8,1.2,0.8,0.8,0.6,1.7999999999999998,0.923076923076923,1.846153846153846,1.2307692307692308,1.2307692307692308,2.4074074074074074,1.4953846153846153,1.8276923076923077,1.163076923076923,0.9969230769230769,3.0,3.0,0.3333333333333333,0.3333333333333333,0.3787878787878788,0.42028985507246375,0.39953886693017127,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5025125628140703,0.5494505494505494,0.05196311226461958,0.7618966944464557,0.48248181504804855,0.5025125628140703,0.5494505494505494,-0.02003074776602176,-0.03193236449859793,0.0,0.0,-0.0398611880543833,-0.05811690338744824,False,0.0,0.0,AVOID,AVOID,False,AVOID,0.0,-0.02003074776602176,OVER,AVOID,0.0,0.8799999999999999,-2.0
2022-09-02,La Liga 2,2022/23,Leganes,Eibar,2.0,1.0,1.0,0.0,4.0,5.0,17.0,13.0,10.0,12.0,6.0,3.0,2.73,1.44,H,3.0,1.0,1.0,1.0,1.0,0.0,0.6,0.25,0.3333333333333333,1.3333333333333333,0.3333333333333333,13.666666666666666,3.0,7.333333333333333,11.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.6666666666666667,1.0,0.6666666666666666,12.666666666666666,3.6666666666666665,7.333333333333333,15.333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0256410256410255,1.0256410256410255,1.0256410256410255,2.090909090909091,0.3188405797101449,1.5942028985507248,1.2753623188405796,0.9565217391304348,6.0,5.0,1.0,0.5,0.21951219512195122,0.2894736842105263,0.25449293966623876,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.3663003663003663,0.6944444444444444,0.06074481074481075,0.3233235838169366,0.48356620877289225,0.3663003663003663,0.6944444444444444,0.11726584247252597,-0.17801065321733667,0.1850495664450843,0.0,0.3201357499499959,-0.2563353406329648,False,1.0,0.0,MARKSMAN,AVOID,False,OVER,1.0,0.11726584247252597,OVER,MARKSMAN,1.73,2.61,-0.27
2022-09-03,Bundesliga 2,2022/23,Greuther Furth,St Pauli,2.0,2.0,0.0,1.0,6.0,6.0,13.0,13.0,10.0,15.0,5.0,4.0,1.66,2.2,D,4.0,1.0,1.0,1.0,1.0,0.0,0.5,0.26666666666666666,1.0,2.0,0.6,13.2,4.8,5.6,11.8,0.4,0.2,0.6,0.0,1.6,1.6,0.8,16.6,4.6,6.2,10.2,0.6,1.0,1.0,0.6,1.0,0.6153846153846154,0.923076923076923,0.3076923076923077,1.5384615384615383,3.232142857142857,0.6187845303867403,0.9900552486187846,1.2375690607734806,0.9900552486187846,6.0,7.0,0.6666666666666666,0.3333333333333333,0.36363636363636365,0.2771084337349397,0.3203723986856517,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.6024096385542169,0.45454545454545453,0.056955093099671394,0.48157042406394956,0.48340814086520906,0.6024096385542169,0.45454545454545453,-0.11900149768900786,0.06204640458933636,0.0,0.11375174174711666,-0.19754248616375303,0.13650209009654,False,0.0,1.0,AVOID,VALUABLE,False,UNDER,1.0,0.06204640458933636,UNDER,VALUABLE,-1.0,1.6099999999999999,-1.27
2022-09-03,Championship,2022/23,Luton,Wigan,1.0,2.0,1.0,0.0,9.0,4.0,10.0,7.0,13.0,9.0,4.0,1.0,2.35,1.59,A,3.0,1.0,1.0,1.0,1.0,0.0,0.3076923076923077,0.1111111111111111,1.0,1.0,0.2,12.4,3.4,5.2,12.6,0.4,0.6,0.8,0.2,1.0,1.6,0.2,10.0,3.0,3.4,10.2,0.6,0.8,0.8,0.4,1.0,0.6153846153846154,0.923076923076923,0.923076923076923,1.2307692307692308,2.392857142857143,0.835820895522388,0.835820895522388,0.835820895522388,1.337313432835821,4.0,4.0,0.2,1.0,0.27419354838709675,0.3,0.2870967741935484,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.425531914893617,0.6289308176100629,0.054462732503679945,0.3233235838169366,0.48363953528278214,0.425531914893617,0.6289308176100629,0.058107620389165116,-0.112570352892845,0.10115030215891711,0.0,0.13655290791453803,-0.17898686109962356,False,1.0,0.0,VALUABLE,AVOID,False,OVER,1.0,0.058107620389165116,OVER,VALUABLE,1.35,2.96,0.0
2022-09-03,Bundesliga 2,2022/23,Regensburg,Holstein Kiel,0.0,0.0,0.0,0.0,6.0,9.0,12.0,12.0,8.0,11.0,2.0,3.0,1.72,2.11,D,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2727272727272727,0.6,2.2,0.6,10.6,3.6,3.4,16.8,0.2,0.6,0.4,0.2,2.0,2.0,0.8,13.6,4.8,6.4,11.4,0.8,1.4,0.8,0.4,1.0,0.3076923076923077,1.2307692307692308,0.923076923076923,2.1538461538461537,3.206896551724138,0.3741935483870968,1.2473118279569892,1.3720430107526882,1.2473118279569892,8.0,6.0,0.0,0.3333333333333333,0.339622641509434,0.35294117647058826,0.3462819089900111,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5813953488372093,0.47393364928909953,0.05532899812630898,0.48157042406394956,0.48321892879635947,0.5813953488372093,0.47393364928909953,-0.09817642004084987,0.04284742191454094,0.0,0.0814487029186318,-0.16886344247026178,0.09040806023968137,False,0.0,1.0,AVOID,VALUABLE,False,UNDER,1.0,0.04284742191454094,UNDER,VALUABLE,1.1099999999999999,4.07,0.0
2022-09-03,Bundesliga 2,2022/23,Hamburg,Karlsruhe,1.0,0.0,1.0,0.0,5.0,4.0,8.0,17.0,16.0,11.0,5.0,7.0,1.47,2.64,H,1.0,0.0,0.0,1.0,1.0,0.0,0.3125,0.6363636363636364,1.2,0.6,0.2,14.2,4.8,4.6,11.0,0.6,0.4,0.8,0.2,2.8,1.2,0.6,20.4,7.4,7.4,12.8,1.2,0.8,0.8,0.8,1.7999999999999998,0.923076923076923,1.846153846153846,0.6153846153846154,1.2307692307692308,3.245614035087719,0.7394594594594595,1.7254054054054053,0.36972972972972973,0.7394594594594595,7.0,7.0,1.0,0.5,0.3380281690140845,0.36274509803921573,0.3503866335266501,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.6802721088435374,0.3787878787878788,0.05905998763141618,0.7618966944464556,0.4835723717774501,0.6802721088435374,0.3787878787878788,-0.1966997370660873,0.13763974943467117,0.0,0.22156642591922676,-0.2891486134871483,0.3633689385075319,False,0.0,1.0,AVOID,MARKSMAN,False,UNDER,1.0,0.13763974943467117,UNDER,MARKSMAN,1.6400000000000001,5.710000000000001,0.0
2022-09-03,Bundesliga 2,2022/23,Paderborn,Magdeburg,1.0,0.0,0.0,0.0,8.0,2.0,11.0,10.0,26.0,6.0,13.0,2.0,1.26,3.72,H,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,3.0,1.6,0.8,17.4,7.0,2.2,8.2,1.6,1.2,0.8,0.6,1.6,3.0,1.0,13.0,3.6,4.2,10.2,1.4,1.4,1.0,1.0,3.0,2.4615384615384617,2.1538461538461537,1.846153846153846,2.1538461538461537,3.152542372881356,1.903225806451613,1.0150537634408603,1.0150537634408603,1.903225806451613,7.0,6.0,0.6666666666666666,1.0,0.40229885057471265,0.27692307692307694,0.33961096374889477,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.7936507936507936,0.26881720430107525,0.06246799795186897,0.8373612976518287,0.48228162799108915,0.7936507936507936,0.26881720430107525,-0.31136916565970446,0.24890116770783566,0.0,0.34040894995336346,-0.39232514873122765,0.9259123438731487,False,0.0,1.0,AVOID,SNIPER,False,UNDER,1.0,0.24890116770783566,UNDER,SNIPER,2.72,8.430000000000001,0.0
2022-09-03,Championship,2022/23,Blackburn,Bristol City,2.0,3.0,0.0,1.0,5.0,6.0,8.0,10.0,11.0,16.0,6.0,5.0,1.79,2.03,A,5.0,1.0,1.0,1.0,1.0,0.0,0.5454545454545454,0.3125,0.6,1.6,0.6,10.6,2.0,5.0,10.4,0.4,0.6,1.0,0.0,2.0,0.8,0.2,11.0,3.6,4.0,11.4,1.2,0.2,1.0,0.4,1.6,0.6153846153846154,1.846153846153846,0.923076923076923,0.3076923076923077,2.4,0.5,1.6666666666666667,1.3333333333333335,0.6666666666666667,3.0,3.0,0.6,0.6,0.18867924528301888,0.32727272727272727,0.2579759862778731,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5586592178770949,0.4926108374384237,0.05127005531551854,0.48157042406394956,0.483705554824204,0.5586592178770949,0.4926108374384237,-0.07495366305289092,0.023683607737372325,0.0,0.04667740165715128,-0.13416705686467476,0.04807772370686582,False,0.0,0.0,AVOID,AVOID,False,AVOID,0.0,0.023683607737372325,UNDER,AVOID,0.0,8.430000000000001,0.0
2022-09-03,Serie B,2022/23,Frosinone,Como,2.0,0.0,1.0,0.0,8.0,5.0,19.0,11.0,23.0,11.0,9.0,2.0,1.75,2.05,H,2.0,0.0,0.0,1.0,1.0,0.0,0.391304347826087,0.18181818181818182,1.6666666666666667,0.6666666666666666,0.6666666666666666,14.0,5.333333333333333,5.333333333333333,14.333333333333334,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,1.3333333333333333,0.3333333333333333,9.333333333333334,4.0,3.3333333333333335,14.666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.0256410256410255,1.0256410256410255,0.5128205128205128,1.0256410256410255,2.5,1.3333333333333335,0.8,0.5333333333333333,1.0666666666666667,6.0,5.0,0.6,0.4,0.38095238095238093,0.42857142857142855,0.40476190476190477,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.5714285714285714,0.48780487804878053,0.059233449477351874,0.49817507450198883,0.4835029869674287,0.5714285714285714,0.48780487804878053,-0.08792558446114268,0.028692134983790696,0.0,0.05601797782549609,-0.1538697728069997,0.05881887671677092,False,0.0,0.0,AVOID,AVOID,False,AVOID,0.0,0.028692134983790696,UNDER,AVOID,0.0,8.430000000000001,0.0
2022-09-03,Championship,2022/23,Millwall,Cardiff,2.0,0.0,0.0,0.0,4.0,6.0,9.0,15.0,16.0,12.0,7.0,2.0,2.42,1.56,H,2.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.16666666666666666,1.0,1.8,0.4,12.6,3.0,4.0,11.6,0.2,1.0,0.6,0.4,0.4,0.8,0.2,14.4,2.8,5.0,9.0,0.2,0.2,0.4,0.0,0.4,0.3076923076923077,0.3076923076923077,1.5384615384615383,0.3076923076923077,2.397590361445783,0.8341708542713567,0.3336683417085427,1.5015075376884421,0.6673366834170854,4.0,4.0,0.6666666666666666,0.3333333333333333,0.2380952380952381,0.19444444444444442,0.21626984126984128,0.3,0.3,0.07,0.07,0.03,0.03,22.0,0.4132231404958678,0.641025641025641,0.05424878152150869,0.16650226187737005,0.4828880474757221,0.4132231404958678,0.641025641025641,0.06966490697985434,-0.12391368850136308,0.11872470062763911,0.0,0.1685890748912475,-0.19330535406212643,False,1.0,0.0,VALUABLE,AVOID,False,OVER,1.0,0.06966490697985434,OVER,VALUABLE,-1.0,7.4300000000000015,-1.0
