player_name,team,position,price,minutes_pg,p_goal,p_assist,p_sot2,attack_pts,dc_pts,cs_pts,bonus_pts,def_actions_pg,fantasy_pts,xpts_rot,p_start,is_pen_taker,value,availability,injured,doubtful,chance_of_playing,fpl_matched,next_fixtures,avg_fdr,fixtures_available,fixture_adj_pts,n_fixtures_next,total_xpts_next,total_xpts_rot,overall_rank,pos_rank,captain_pick
Bukayo Saka,Arsenal,MID,9.5,66.4,0.525,0.425,0.439,4.097,1.154,0.158,1.11,5.1,8.519,7.497,0.88,True,0.897,available,False,False,,True,COV(H2) · AVL(A4) · CHE(H4) · SUN(A3) · BHA(A3),3.2,True,8.519,5,42.6,37.48,1,1,True
Jérémy Doku,Man City,MID,7.5,75.4,0.342,0.395,0.233,3.001,1.553,0.187,0.936,6.5,7.677,5.758,0.75,True,1.024,available,False,False,,True,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,7.677,5,38.38,28.79,2,2,True
Cody Gakpo,Liverpool,MID,7.0,83.0,0.289,0.139,0.251,1.974,1.316,0.204,0.698,5.6000000000000005,6.192,6.192,1.0,True,0.885,available,False,False,,True,NEW(A3) · NFO(H3) · IPS(A2) · FUL(H2) · BOU(A3),2.6,True,6.192,5,30.96,30.96,3,3,True
Pedro Porro,Spurs,DEF,5.5,90.0,0.061,0.131,0.035,0.774,1.897,0.748,0.669,9.1,6.088,6.088,1.0,False,1.107,available,False,False,,True,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,6.088,5,30.44,30.44,4,1,False
Erling Haaland,Man City,FWD,15.5,90.0,0.457,0.099,0.455,2.328,0.927,0.0,0.755,3.5,6.01,6.01,1.0,True,0.388,available,False,False,,True,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,6.01,5,30.05,30.05,5,1,False
Cole Palmer,Chelsea,MID,9.5,89.8,0.302,0.112,0.174,1.921,1.154,0.172,0.652,5.1,5.899,5.899,1.0,True,0.621,available,False,False,,True,FUL(A3) · BHA(H2) · ARS(A5) · HUL(H2) · BRE(A3),3.0,True,5.899,5,29.5,29.5,6,4,False
João Pedro,Chelsea,FWD,7.5,85.8,0.269,0.069,0.174,1.361,1.865,0.0,0.663,7.3,5.889,5.889,1.0,True,0.785,available,False,False,,True,FUL(A3) · BHA(H2) · ARS(A5) · HUL(H2) · BRE(A3),3.0,True,5.889,5,29.44,29.44,7,2,False
Rayan Aït-Nouri,Man City,DEF,5.5,63.6,0.056,0.105,0.03,0.667,1.842,0.748,0.617,8.4,5.874,4.699,0.8,False,1.068,available,False,False,,True,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,5.874,5,29.37,23.49,8,2,False
Dominic Calvert-Lewin,Leeds,FWD,6.0,89.6,0.316,0.047,0.15,1.475,1.747,0.0,0.648,6.3,5.87,5.87,1.0,True,0.978,available,False,False,,True,NFO(A3) · BRE(H3) · BHA(A3) · NEW(H2) · CRY(H3),2.8,True,5.87,5,29.35,29.35,9,3,False
Richarlison,Spurs,FWD,6.0,76.0,0.287,0.07,0.231,1.462,1.747,0.0,0.649,6.300000000000001,5.858,4.569,0.78,True,0.976,available,False,False,,True,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,5.858,5,29.29,22.84,10,4,False
Dominik Szoboszlai,Liverpool,MID,7.0,90.0,0.168,0.194,0.1,1.469,1.553,0.204,0.621,6.5,5.847,5.847,1.0,True,0.835,available,False,False,,True,NEW(A3) · NFO(H3) · IPS(A2) · FUL(H2) · BOU(A3),2.6,True,5.847,5,29.24,29.24,11,5,False
James Justin,Leeds,DEF,4.5,90.0,0.053,0.046,0.029,0.466,1.938,0.748,0.644,9.9,5.796,5.796,1.0,False,1.288,available,False,False,,True,NFO(A3) · BRE(H3) · BHA(A3) · NEW(H2) · CRY(H3),2.8,True,5.796,5,28.98,28.98,12,3,False
Marc Guéhi,Man City,DEF,6.0,90.0,0.046,0.042,0.026,0.414,1.941,0.748,0.639,10.0,5.742,5.742,1.0,False,0.957,available,False,False,,True,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,5.742,5,28.71,28.71,13,4,False
Jan Paul van Hecke,Spurs,DEF,5.0,90.0,0.048,0.038,0.026,0.415,1.938,0.748,0.635,9.9,5.736,5.736,1.0,False,1.147,available,False,False,,True,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,5.736,5,28.68,28.68,14,5,False
Kevin Danso,Spurs,DEF,5.0,90.0,0.049,0.046,0.027,0.441,1.914,0.748,0.618,9.399999999999999,5.721,5.492,0.96,False,1.144,available,False,False,,True,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,5.721,5,28.6,27.46,15,6,False
