league,bets,wins,profit,roi_%
Bundesliga 2,759.0,302.0,-48.64,-6.41
Championship,633.0,269.0,-22.07,-3.49
La Liga 2,942.0,346.0,-63.85,-6.78
League One,604.0,250.0,-65.26,-10.8
League Two,423.0,168.0,-40.44,-9.56
Ligue 2,441.0,179.0,-17.25,-3.91
Serie B,536.0,241.0,29.47,5.5
