feature,importance,importance_%
bookmaker_overround,0.5787113646057358,57.87
combined_ht_goals_avg,0.04054516957651706,4.05
away_ht_over15_rate,0.02324324973322665,2.32
combined_sot_ratio,0.02232904451134051,2.23
away_rest_days,0.02173509323399118,2.17
away_corners_pg_roll,0.020615654558377803,2.06
away_fouls_pg_roll,0.02034386360100084,2.03
away_ht_conceded_last5,0.02005150273601657,2.01
away_ht_over05_rate,0.01893031954540513,1.89
home_season_goals_h,0.015130594658309938,1.51
home_attack_str,0.013676815334120025,1.37
home_defense_str,0.012721393499775564,1.27
home_fouls_pg_roll,0.012507389735463207,1.25
away_attack_str,0.011961523637876956,1.2
home_ht_conceded_last5,0.01184721469160754,1.18
away_season_goals_a,0.011720506068167795,1.17
away_defense_str,0.010920579238632364,1.09
away_ht_attack_str,0.01074049166950647,1.07
away_ht_scored_last5,0.01037983638374768,1.04
home_ht_over15_rate,0.010214818169097575,1.02
home_ht_over05_rate,0.009341033461595094,0.93
home_rest_days,0.009232683239242001,0.92
away_season_conceded_a,0.008105378558727833,0.81
home_season_conceded_h,0.00763229055105901,0.76
home_corners_pg_roll,0.007499777170290869,0.75
home_cs_rate_h,0.007053276298956877,0.71
home_xg_last5,0.005666391132451913,0.57
away_cs_rate_a,0.005326434133693943,0.53
away_xg_last5,0.005304826978349774,0.53
p_over25_poisson_dc,0.0052095007931979576,0.52
home_insidebox_last5,0.004448675800366482,0.44
home_advantage,0.0031748259797573478,0.32
home_ht_scored_last5,0.003092059293876415,0.31
away_insidebox_last5,0.003025336862776102,0.3
away_conceded_last5,0.002943291340910707,0.29
away_home_adv_factor,0.002714235947552716,0.27
home_scored_last5,0.0025685834809449208,0.26
home_ht_attack_str,0.0025114956955548163,0.25
home_over25_last5,0.0022954805900322526,0.23
home_conceded_last5,0.001833270197034098,0.18
away_over25_last5,0.001761902023326205,0.18
away_scored_last5,0.0009328252823859949,0.09
