feature,importance,importance_%
combined_sot_ratio,0.07972901757450085,7.97
home_defense_str,0.0694314161711231,6.94
away_season_conceded_a,0.06428549732809116,6.43
away_defense_str,0.06318517313775171,6.32
home_attack_str,0.05892318390659674,5.89
away_fouls_pg_roll,0.05462557082356759,5.46
away_attack_str,0.05309597438943891,5.31
home_fouls_pg_roll,0.05302407544845235,5.3
home_season_goals_h,0.0521903469205314,5.22
p_over25_poisson_dc,0.049325741416115634,4.93
away_season_goals_a,0.04561223649093271,4.56
home_corners_pg_roll,0.041559437579036816,4.16
away_corners_pg_roll,0.036994992401431774,3.7
home_season_conceded_h,0.031558502811745714,3.16
away_cs_rate_a,0.0294464291003677,2.94
away_rest_days,0.026626979759725295,2.66
away_conceded_last5,0.024894842437454007,2.49
home_rest_days,0.024624742299163203,2.46
home_cs_rate_h,0.017369487803175394,1.74
home_conceded_last5,0.015535470024786587,1.55
home_scored_last5,0.015341859099234835,1.53
away_scored_last5,0.01354533969456369,1.35
home_over25_last5,0.012801624942112488,1.28
away_over25_last5,0.01259035013269448,1.26
away_home_adv_factor,0.01170819454270821,1.17
home_advantage,0.011087123070078685,1.11
combined_ht_goals_avg,0.007100993319128674,0.71
home_ht_over05_rate,0.004400817502694062,0.44
home_ht_over15_rate,0.003273490528963287,0.33
bookmaker_overround,0.0023627012608079196,0.24
away_ht_scored_last5,0.0017836673604193379,0.18
away_ht_over15_rate,0.001764111822959461,0.18
away_ht_attack_str,0.0017261770219614133,0.17
home_ht_scored_last5,0.001595993273101426,0.16
home_ht_attack_str,0.001323230926134817,0.13
away_ht_conceded_last5,0.0012750492294752226,0.13
home_ht_conceded_last5,0.001190963480824422,0.12
away_ht_over05_rate,0.0008804991732421458,0.09
home_xg_last5,0.0008059742704880567,0.08
away_xg_last5,0.000549548527756354,0.05
home_insidebox_last5,0.00044617660049952755,0.04
away_insidebox_last5,0.00040699639616284154,0.04
